"selectedUser","currentDate","symbol","coinHoldingQty","coinHoldingValue"
"anbessa100","2017-05-02","qrl",0,0
"anbessa100","2017-05-02","steem",0,0
"anbessa100","2017-05-02","omg",0,0
"anbessa100","2017-05-02","msp",0,0
"anbessa100","2017-05-02","gbyte",0,0
"anbessa100","2017-05-02","sky",0,0
"anbessa100","2017-05-02","sngls",0,0
"anbessa100","2017-05-02","trst",0,0
"anbessa100","2017-05-02","tit",0,0
"anbessa100","2017-05-02","nebl",0,0
"anbessa100","2017-05-02","xzc",0,0
"anbessa100","2017-05-02","mtl",0,0
"anbessa100","2017-05-02","adx",0,0
"anbessa100","2017-05-02","powr",0,0
"anbessa100","2017-05-02","bch",0,0
"anbessa100","2017-05-02","qwark",0,0
"anbessa100","2017-05-02","orme",0,0
"anbessa100","2017-05-02","link",0,0
"anbessa100","2017-05-02","appc",0,0
"anbessa100","2017-05-02","brd",0,0
"anbessa100","2017-05-02","eth",0,0
"anbessa100","2017-05-02","ost",0,0
"anbessa100","2017-05-02","pot",0,0
"anbessa100","2017-05-02","sphtx",0,0
"anbessa100","2017-05-03","nxt",30418.9356657762,855.745498149616
"anbessa100","2017-05-03","posw",0,0
"anbessa100","2017-05-03","mue",0,0
"anbessa100","2017-05-03","ark",0,0
"anbessa100","2017-05-03","etc",0,0
"anbessa100","2017-05-03","btc",0,0
"anbessa100","2017-05-03","sc",0,0
"anbessa100","2017-05-03","tkn",0,0
"anbessa100","2017-05-03","atms",0,0
"anbessa100","2017-05-03","neo",0,0
"anbessa100","2017-05-03","emd",0,0
"anbessa100","2017-05-03","netko",0,0
"anbessa100","2017-05-03","pivx",0,0
"anbessa100","2017-05-03","eqt",0,0
"anbessa100","2017-05-03","seq",0,0
"anbessa100","2017-05-03","ptoy",0,0
"anbessa100","2017-05-03","rain",0,0
"anbessa100","2017-05-03","strat",0,0
"anbessa100","2017-05-03","edg",0,0
"anbessa100","2017-05-03","xvg",0,0
"anbessa100","2017-05-03","mer",0,0
"anbessa100","2017-05-03","xby",0,0
"anbessa100","2017-05-03","insn",0,0
"anbessa100","2017-05-03","crea",0,0
"anbessa100","2017-05-03","zec",0,0
"anbessa100","2017-05-03","wings",0,0
"anbessa100","2017-05-03","lbc",0,0
"anbessa100","2017-05-03","qtum",0,0
"anbessa100","2017-05-03","xel",0,0
"anbessa100","2017-05-03","waves",0,0
"anbessa100","2017-05-03","ant",0,0
"anbessa100","2017-05-03","bay",0,0
"anbessa100","2017-05-03","dct",0,0
"anbessa100","2017-05-03","nmr",0,0
"anbessa100","2017-05-03","xcp",0,0
"anbessa100","2017-05-03","bitb",0,0
"anbessa100","2017-05-03","nxc",0,0
"anbessa100","2017-05-03","cfi",0,0
"anbessa100","2017-05-03","cvc",0,0
"anbessa100","2017-05-03","dgb",0,0
"anbessa100","2017-05-03","pay",0,0
"anbessa100","2017-05-03","qrl",0,0
"anbessa100","2017-05-03","steem",0,0
"anbessa100","2017-05-03","omg",0,0
"anbessa100","2017-05-03","msp",0,0
"anbessa100","2017-05-03","gbyte",0,0
"anbessa100","2017-05-03","sky",0,0
"anbessa100","2017-05-03","sngls",0,0
"anbessa100","2017-05-03","trst",0,0
"anbessa100","2017-05-03","tit",0,0
"anbessa100","2017-05-03","nebl",0,0
"anbessa100","2017-05-03","xzc",0,0
"anbessa100","2017-05-03","mtl",0,0
"anbessa100","2017-05-03","adx",0,0
"anbessa100","2017-05-03","powr",0,0
"anbessa100","2017-05-03","bch",0,0
"anbessa100","2017-05-03","qwark",0,0
"anbessa100","2017-05-03","orme",0,0
"anbessa100","2017-05-03","link",0,0
"anbessa100","2017-05-03","appc",0,0
"anbessa100","2017-05-03","brd",0,0
"anbessa100","2017-05-03","eth",0,0
"anbessa100","2017-05-03","ost",0,0
"anbessa100","2017-05-03","pot",0,0
"anbessa100","2017-05-03","sphtx",0,0
"anbessa100","2017-05-04","nxt",30418.9356657762,890.940206714919
"anbessa100","2017-05-04","posw",0,0
"anbessa100","2017-05-04","mue",0,0
"anbessa100","2017-05-04","ark",0,0
"anbessa100","2017-05-04","etc",0,0
"anbessa100","2017-05-04","btc",0,0
"anbessa100","2017-05-04","sc",0,0
"anbessa100","2017-05-04","tkn",0,0
"anbessa100","2017-05-04","atms",0,0
"anbessa100","2017-05-04","neo",0,0
"anbessa100","2017-05-04","emd",0,0
"anbessa100","2017-05-04","netko",0,0
"anbessa100","2017-05-04","pivx",0,0
"anbessa100","2017-05-04","eqt",0,0
"anbessa100","2017-05-04","seq",0,0
"anbessa100","2017-05-04","ptoy",0,0
"anbessa100","2017-05-04","rain",0,0
"anbessa100","2017-05-04","strat",0,0
"anbessa100","2017-05-04","edg",0,0
"anbessa100","2017-05-04","xvg",0,0
"anbessa100","2017-05-04","mer",0,0
"anbessa100","2017-05-04","xby",0,0
"anbessa100","2017-05-04","insn",0,0
"anbessa100","2017-05-04","crea",0,0
"anbessa100","2017-05-04","zec",0,0
"anbessa100","2017-05-04","wings",0,0
"anbessa100","2017-05-04","lbc",0,0
"anbessa100","2017-05-04","qtum",0,0
"anbessa100","2017-05-04","xel",0,0
"anbessa100","2017-05-04","waves",0,0
"anbessa100","2017-05-04","ant",0,0
"anbessa100","2017-05-04","bay",0,0
"anbessa100","2017-05-04","dct",0,0
"anbessa100","2017-05-04","nmr",0,0
"anbessa100","2017-05-04","xcp",0,0
"anbessa100","2017-05-04","bitb",0,0
"anbessa100","2017-05-04","nxc",0,0
"anbessa100","2017-05-04","cfi",0,0
"anbessa100","2017-05-04","cvc",0,0
"anbessa100","2017-05-04","dgb",0,0
"anbessa100","2017-05-04","pay",0,0
"anbessa100","2017-05-04","qrl",0,0
"anbessa100","2017-05-04","steem",0,0
"anbessa100","2017-05-04","omg",0,0
"anbessa100","2017-05-04","msp",0,0
"anbessa100","2017-05-04","gbyte",0,0
"anbessa100","2017-05-04","sky",0,0
"anbessa100","2017-05-04","sngls",0,0
"anbessa100","2017-05-04","trst",0,0
"anbessa100","2017-05-04","tit",0,0
"anbessa100","2017-05-04","nebl",0,0
"anbessa100","2017-05-04","xzc",0,0
"anbessa100","2017-05-04","mtl",0,0
"anbessa100","2017-05-04","adx",0,0
"anbessa100","2017-05-04","powr",0,0
"anbessa100","2017-05-04","bch",0,0
"anbessa100","2017-05-04","qwark",0,0
"anbessa100","2017-05-04","orme",0,0
"anbessa100","2017-05-04","link",0,0
"anbessa100","2017-05-04","appc",0,0
"anbessa100","2017-05-04","brd",0,0
"anbessa100","2017-05-04","eth",0,0
"anbessa100","2017-05-04","ost",0,0
"anbessa100","2017-05-04","pot",0,0
"anbessa100","2017-05-04","sphtx",0,0
"anbessa100","2017-05-05","nxt",30418.9356657762,1000.8134023397
"anbessa100","2017-05-05","posw",0,0
"anbessa100","2017-05-05","mue",0,0
"anbessa100","2017-05-05","ark",0,0
"anbessa100","2017-05-05","etc",0,0
"anbessa100","2017-05-05","btc",0,0
"anbessa100","2017-05-05","sc",0,0
"anbessa100","2017-05-05","tkn",0,0
"anbessa100","2017-05-05","atms",0,0
"anbessa100","2017-05-05","neo",0,0
"anbessa100","2017-05-05","emd",0,0
"anbessa100","2017-05-05","netko",0,0
"anbessa100","2017-05-05","pivx",0,0
"anbessa100","2017-05-05","eqt",0,0
"anbessa100","2017-05-05","seq",0,0
"anbessa100","2017-05-05","ptoy",0,0
"anbessa100","2017-05-05","rain",0,0
"anbessa100","2017-05-05","strat",0,0
"anbessa100","2017-05-05","edg",0,0
"anbessa100","2017-05-05","xvg",0,0
